,publication_index,manual_dataset_publication,auto_extraction_dataset,case_index,manual_case_id,automatic_case_id,manual_gene,automatic_gene,manual_score,automatic_score,difference,absolute_difference,percentage_difference,scores_match,match_type,case_confidence,publication_match_type
10,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",0,Female 1,Female 1,DDX3X,DDX3X,0.25,0.5,0.25,0.25,100.0,False,CLOSE_MATCH,0.85,TITLE_AUTHOR_HIGH
11,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",3,Female 6,Female 6,DDX3X,DDX3X,0.25,0.25,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
12,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",4,Female 8,Female 8,DDX3X,DDX3X,0.25,0.25,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
13,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",9,Female 15,Female 15,DDX3X,DDX3X,0.25,0.25,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
14,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",10,Female 16,Female 16,DDX3X,DDX3X,0.25,0.25,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
15,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",11,Female 17,Female 17,DDX3X,DDX3X,0.25,0.5,0.25,0.25,100.0,False,CLOSE_MATCH,0.85,TITLE_AUTHOR_HIGH
16,7,Dai Y et al. (2022): Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients,"Dai Y, et al - Expansion of Clinical and Genetic Spectrum of DDX3X Neurodevelopmental Disorder in 23 Chinese Patients",12,Female 18,Female 18,DDX3X,DDX3X,0.25,0.25,0.0,0.0,0.0,True,EXACT_MATCH,0.85,TITLE_AUTHOR_HIGH
17,8,Paprocka J et al. (2021): Case Report: Lennox-Gastaut Epileptic Encephalopathy Responsive to Cannabidiol Treatment Associated With a Novel de novo Mosaic SHANK1 Variant,"Paprocka J, et al - Case Report: Lennox-Gastaut Epileptic Encephalopathy Responsive to Cannabidiol Treatment Associated With a Novel de novo Mosaic SHANK1 Variant",0,Single case report,SHANK1-01,SHANK1,SHANK1,0.25,0.5,0.25,0.25,100.0,False,CLOSE_MATCH,0.6,TITLE_AUTHOR_HIGH
18,9,Folland C et al. (2023): Transcriptome and Genome Analysis Uncovers a DMD Structural Variant: A Case Report,"Folland C, et al - Transcriptome and Genome Analysis Uncovers a DMD Structural Variant: A Case Report",0,Single case report,Proband,DMD,DMD,0.75,1.0,0.25,0.25,33.33333333333333,False,CLOSE_MATCH,0.6,TITLE_AUTHOR_HIGH
19,10,Stefaniak U et al. (2022): Autistic-like Behaviors Associated with a Novel Non-Canonical Splice-Site DDX3X Variant: A Case Report of a Rare Clinical Syndrome,"Stefaniak U, et al - Autistic-like Behaviors Associated with a Novel Non-Canonical Splice-Site DDX3X Variant: A Case Report of a Rare Clinical Syndrome",0,Single case Report,DDX3X-1,DDX3X,DDX3X,0.15,0.5,0.35,0.35,233.33333333333334,False,CLOSE_MATCH,0.6,TITLE_AUTHOR_HIGH
20,11,Hettiarachchi D (2020): Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome,"Hettiarachchi D, et al - Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome",1,Proband 2,2,MECP2,MECP2,0.5,1.0,0.5,0.5,100.0,False,SIGNIFICANT_DIFFERENCE,0.8,TITLE_AUTHOR_HIGH
21,11,Hettiarachchi D (2020): Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome,"Hettiarachchi D, et al - Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome",4,Proband 5,5,MECP2,MECP2,0.5,0.0,-0.5,0.5,-100.0,False,SIGNIFICANT_DIFFERENCE,0.8,TITLE_AUTHOR_HIGH
22,11,Hettiarachchi D (2020): Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome,"Hettiarachchi D, et al - Variant Profile of MECP2 Gene in Sri Lankan Patients with Rett Syndrome",6,Proband 7,7,MECP2,MECP2,0.5,0.0,-0.5,0.5,-100.0,False,SIGNIFICANT_DIFFERENCE,0.8,TITLE_AUTHOR_HIGH
